INFO:tensorflow:Iteration: 1	cost=2.30519223213	validation accuracy=0.316000014544
INFO:tensorflow:Iteration: 2	cost=2.25049996376	validation accuracy=0.21250000596
INFO:tensorflow:Iteration: 3	cost=2.17920827866	validation accuracy=0.39633333683
INFO:tensorflow:Iteration: 4	cost=2.03136634827	validation accuracy=0.321833342314
INFO:tensorflow:Iteration: 5	cost=1.94261002541	validation accuracy=0.506500005722
INFO:tensorflow:Iteration: 6	cost=1.70877289772	validation accuracy=0.577333331108
INFO:tensorflow:Iteration: 7	cost=1.42492330074	validation accuracy=0.601583361626
INFO:tensorflow:Iteration: 8	cost=1.28398442268	validation accuracy=0.772083342075
INFO:tensorflow:Iteration: 9	cost=0.982059180737	validation accuracy=0.697083353996
INFO:tensorflow:Iteration: 10	cost=0.683661341667	validation accuracy=0.684583306313
INFO:tensorflow:Iteration: 11	cost=1.15825641155	validation accuracy=0.736083328724
INFO:tensorflow:Iteration: 12	cost=0.819868445396	validation accuracy=0.758833348751
INFO:tensorflow:Iteration: 13	cost=0.864001631737	validation accuracy=0.745333313942
INFO:tensorflow:Iteration: 14	cost=0.765496969223	validation accuracy=0.763416647911
INFO:tensorflow:Iteration: 15	cost=0.827340364456	validation accuracy=0.802250027657
INFO:tensorflow:Iteration: 16	cost=0.512107074261	validation accuracy=0.842333316803
INFO:tensorflow:Iteration: 17	cost=0.532624900341	validation accuracy=0.855833351612
INFO:tensorflow:Iteration: 18	cost=0.632238030434	validation accuracy=0.847249984741
INFO:tensorflow:Iteration: 19	cost=0.665920555592	validation accuracy=0.853583335876
INFO:tensorflow:Iteration: 20	cost=0.472398072481	validation accuracy=0.874583303928
INFO:tensorflow:Iteration: 21	cost=0.509897947311	validation accuracy=0.887583315372
INFO:tensorflow:Iteration: 22	cost=0.284215092659	validation accuracy=0.893750011921
INFO:tensorflow:Iteration: 23	cost=0.434260070324	validation accuracy=0.897750020027
INFO:tensorflow:Iteration: 24	cost=0.244719728827	validation accuracy=0.899999976158
INFO:tensorflow:Iteration: 25	cost=0.257244676352	validation accuracy=0.904833316803
INFO:tensorflow:Iteration: 26	cost=0.389469921589	validation accuracy=0.906833350658
INFO:tensorflow:Iteration: 27	cost=0.242898896337	validation accuracy=0.895500004292
INFO:tensorflow:Iteration: 28	cost=0.460564315319	validation accuracy=0.898999989033
INFO:tensorflow:Iteration: 29	cost=0.356147229671	validation accuracy=0.915416657925
INFO:tensorflow:Iteration: 30	cost=0.294319450855	validation accuracy=0.921083331108
INFO:tensorflow:Iteration: 31	cost=0.236077427864	validation accuracy=0.908333361149
INFO:tensorflow:Iteration: 32	cost=0.268908590078	validation accuracy=0.885083317757
INFO:tensorflow:Iteration: 33	cost=0.615325689316	validation accuracy=0.896416664124
INFO:tensorflow:Iteration: 34	cost=0.400104016066	validation accuracy=0.921000003815
INFO:tensorflow:Iteration: 35	cost=0.447895228863	validation accuracy=0.919499993324
INFO:tensorflow:Iteration: 36	cost=0.278272897005	validation accuracy=0.914499998093
INFO:tensorflow:Iteration: 37	cost=0.341501802206	validation accuracy=0.918749988079
INFO:tensorflow:Iteration: 38	cost=0.309221625328	validation accuracy=0.91766667366
INFO:tensorflow:Iteration: 39	cost=0.272563785315	validation accuracy=0.919416666031
INFO:tensorflow:Iteration: 40	cost=0.200008407235	validation accuracy=0.923749983311
INFO:tensorflow:Iteration: 41	cost=0.25532245636	validation accuracy=0.930333316326
INFO:tensorflow:Iteration: 42	cost=0.261716902256	validation accuracy=0.936083316803
INFO:tensorflow:Iteration: 43	cost=0.229087367654	validation accuracy=0.939583361149
INFO:tensorflow:Iteration: 44	cost=0.343309015036	validation accuracy=0.940500020981
INFO:tensorflow:Iteration: 45	cost=0.229765087366	validation accuracy=0.938250005245
INFO:tensorflow:Iteration: 46	cost=0.27029004693	validation accuracy=0.939916670322
INFO:tensorflow:Iteration: 47	cost=0.293005615473	validation accuracy=0.942083358765
INFO:tensorflow:Iteration: 48	cost=0.27735671401	validation accuracy=0.946583330631
INFO:tensorflow:Iteration: 49	cost=0.234557196498	validation accuracy=0.950166642666
INFO:tensorflow:Iteration: 50	cost=0.182540595531	validation accuracy=0.951833307743
INFO:tensorflow:Iteration: 51	cost=0.349748432636	validation accuracy=0.949000000954
INFO:tensorflow:Iteration: 52	cost=0.134293153882	validation accuracy=0.947749972343
INFO:tensorflow:Iteration: 53	cost=0.0731772780418	validation accuracy=0.947250008583
INFO:tensorflow:Iteration 53 Early stop, There was no accuracy improvement in the last 3 batches
INFO:tensorflow:Validation Accuracy: 0.94725
INFO:tensorflow:Accuracy: 0.9515
